SKU,Stock,Amount,Left
kuma-3xl,17,17,0
kuma-3xl-addon,14,14,0
kuma-5xl,4,4,0
kuma-5xl-addon,2,2,0
kuma-l,270,269,1
kuma-l-addon,156,152,4
kuma-m,272,272,0
kuma-m-addon,155,155,0
kuma-s,261,254,7
kuma-s-addon,135,125,10
kuma-xl,218,166,52
kuma-xl-addon,178,115,63
kuma-xs,150,106,44
kuma-xs-addon,135,88,47
kuma-xxl,154,102,52
kuma-xxl-addon,130,71,59
sister-3xl,6,6,0
sister-3xl-addon,4,3,1
sister-5xl,2,2,0
sister-l,89,82,7
sister-l-addon,53,45,8
sister-m,96,96,0
sister-m-addon,46,46,0
sister-s,87,87,0
sister-s-addon,45,45,0
sister-xl,76,55,21
sister-xl-addon,56,32,24
sister-xs,53,44,9
sister-xs-addon,42,31,11
sister-xxl,51,26,25
sister-xxl-addon,44,24,20
